Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777911285,9,,Aggregated,0.300000,0.000000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,5,0,24000,20748.545279999962,8468.211500003235,29124.91240000236,933.4
1777911286,9,,Aggregated,0.300000,0.000000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,5,0,24000,20748.545279999962,8468.211500003235,29124.91240000236,933.4
1777911287,9,,Aggregated,0.300000,0.000000,24000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,6,0,22000,20934.65279999752,8468.211500003235,29124.91240000236,969.0
1777911288,9,,Aggregated,0.300000,0.000000,24000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,6,0,22000,20934.65279999752,8468.211500003235,29124.91240000236,969.0
1777911289,9,,Aggregated,0.300000,0.000000,24000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,6,0,22000,20934.65279999752,8468.211500003235,29124.91240000236,969.0
1777911290,10,,Aggregated,0.300000,0.000000,24000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,6,0,22000,20934.65279999752,8468.211500003235,29124.91240000236,969.0
1777911291,10,,Aggregated,0.300000,0.000000,24000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,6,0,22000,20934.65279999752,8468.211500003235,29124.91240000236,969.0
1777911292,10,,Aggregated,0.300000,0.000000,24000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,6,0,22000,20934.65279999752,8468.211500003235,29124.91240000236,969.0
1777911293,10,,Aggregated,0.300000,0.000000,24000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,6,0,22000,20934.65279999752,8468.211500003235,29124.91240000236,969.0
1777911294,10,,Aggregated,0.200000,0.000000,23000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,7,0,23000,21233.163271427788,8468.211500003235,29124.91240000236,994.2857142857143
1777911295,10,,Aggregated,0.200000,0.000000,23000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,7,0,23000,21233.163271427788,8468.211500003235,29124.91240000236,994.2857142857143
1777911296,10,,Aggregated,0.200000,0.000000,23000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,7,0,23000,21233.163271427788,8468.211500003235,29124.91240000236,994.2857142857143
1777911297,10,,Aggregated,0.200000,0.000000,23000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,7,0,23000,21233.163271427788,8468.211500003235,29124.91240000236,994.2857142857143
1777911298,10,,Aggregated,0.200000,0.000000,23000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,7,0,23000,21233.163271427788,8468.211500003235,29124.91240000236,994.2857142857143
1777911299,10,,Aggregated,0.200000,0.000000,23000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,7,0,23000,21233.163271427788,8468.211500003235,29124.91240000236,994.2857142857143
1777911300,10,,Aggregated,0.200000,0.000000,23000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,7,0,23000,21233.163271427788,8468.211500003235,29124.91240000236,994.2857142857143
1777911301,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911302,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911303,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911304,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911305,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911306,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911307,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911308,10,,Aggregated,0.100000,0.000000,24000,24000,26000,26000,29000,29000,29000,29000,29000,29000,29000,8,0,23000,21833.213162499305,8468.211500003235,29124.91240000236,1013.5
1777911309,10,,Aggregated,0.100000,0.000000,24000,24000,26000,29000,33000,33000,33000,33000,33000,33000,33000,9,0,24000,23018.77731111017,8468.211500003235,32503.290499997092,1030.7777777777778
1777911310,10,,Aggregated,0.100000,0.000000,24000,24000,26000,29000,33000,33000,33000,33000,33000,33000,33000,9,0,24000,23018.77731111017,8468.211500003235,32503.290499997092,1030.7777777777778
1777911311,10,,Aggregated,0.100000,0.000000,24000,24000,26000,29000,33000,33000,33000,33000,33000,33000,33000,9,0,24000,23018.77731111017,8468.211500003235,32503.290499997092,1030.7777777777778
1777911312,10,,Aggregated,0.100000,0.000000,24000,24000,26000,29000,33000,33000,33000,33000,33000,33000,33000,9,0,24000,23018.77731111017,8468.211500003235,32503.290499997092,1030.7777777777778
1777911313,10,,Aggregated,0.100000,0.000000,24000,24000,26000,29000,33000,33000,33000,33000,33000,33000,33000,9,0,24000,23018.77731111017,8468.211500003235,32503.290499997092,1030.7777777777778
1777911314,10,,Aggregated,0.100000,0.000000,24000,24000,26000,29000,33000,33000,33000,33000,33000,33000,33000,9,0,24000,23018.77731111017,8468.211500003235,32503.290499997092,1030.7777777777778
